id,title,description,audience,alt,style,game_path,image_webp,image_png,image_width,image_height
a,מתחם הקטנטנים,"פינה צבעונית לאחים הגדולים: צובעים, הופכים קלפים, מרכיבים פאזלים ומגלים ציורים. בוחרים רמה, אוספים מדליות ויוצרים חוברת אישית.","מגיל 4 · יצירה, זיכרון וחשיבה","לב מפאזל, צבעים ודפי יצירה בסדנת נייר צבעונית","סדנת יצירה מנייר, טורקיז וקורל",../משחקים/a-coloring/index.html,a-cover.webp,a-cover.png,1536,1024
b,אור הגיע אלינו,"תינוק חדש הגיע הביתה — והסיפור מתחיל! מדפדפים יחד בספר מאויר, קוראים גם עם ניקוד ומשחקים בשמונה פעילויות מתוך חיי המשפחה.",מגיל 3 בליווי · סיפור ומשחק,"ספר פתוח בעולם חלומי של קוביות, בית צעצוע, ירח וכוכבים",ספר חלומי בגוני לבנדר ומנטה,../משחקים/b-story.html,b-cover.webp,b-cover.png,1536,1024
c,בית המצוות,"מי יפתח את התיבה הסודית? חוקרים את הבית, תופסים כוכבים, זוכרים רצפים ופותרים חידות. כל הצלחה מקרבת אתכם לאות הבאה ולגילוי הגדול.","רמות לגילי 4+, 7+, 10+ · הרפתקה וחשיבה","בית צעצוע פתוח עם חדרים, דלת טורקיז, גג קורל ותיבת אוצר","בית משחק בתלת ממד, חם והרפתקני",../משחקים/beit-hamitzvot.html,c-cover.webp,c-cover.png,1536,1024
d,מסע המצוות,"בונים יחד עיר של מצוות! אוספים בתנועה, מתקדמים בלוח, בוחרים משימות ומוסיפים בניינים לעיר שלכם. משחק אישי או משפחתי בכמה קצבים.",מגיל 4 · עד ארבעה משתתפים,עיר צעצוע צבעונית על אי עם שביל משחק ומנוף,"עולם בנייה בתלת ממד, ירוק וזהב",../משחקים/d-mitzvot.html,d-cover.webp,d-cover.png,1536,1024
e,מסע בזמן,"יוצאים ליום מלא גילויים, מהבוקר ועד הלילה. עוברים ב־12 תחנות, פותרים אתגרים או בוחרים במסלול עשייה — וכל תחנה מקרבת לסיום המסע.","מגיל 4 · רצף יום, בחירה ועשייה","מסלול מאויר מהשמש בבוקר לירח בלילה, עם חפצי יום יום","נוף נייר, מעבר חם מהבוקר ללילה",../משחקים/e-time.html,e-cover.webp,e-cover.png,1536,1024
f,מטבח השבת,"החלות בדרך לשולחן! מנפים, לשים, קולעים ואופים בעשרה שלבים שאפשר לבצע בעצמכם. משחקים בקצב רגוע או מנסים להספיק באתגר השפים.",מגיל 4 בליווי · עשייה ומוטוריקה,"מטבח חמים עם חלות קלועות, קערת בצק, קמח ונפה","מטבח מציאותי חם, עץ וטורקיז עמוק",../משחקים/f-kitchen.html,f-cover.webp,f-cover.png,1536,1024
g,תעלומת המתנה,"המתנה נקרעה, והרמזים מחכים לכם בחדר. אוספים ארבע עדויות, מקשיבים לכל צד, מחברים את הפרטים ומנסים לפענח יחד את התעלומה.","מגיל 6 בליווי · קריאה, חקירה וחשיבה","זכוכית מגדלת, מתנה עם סרט ותיק נייר על שולחן חקירה","שולחן בלשים בגוני עץ, טורקיז וזהב",../משחקים/g-detective.html,g-cover.webp,g-cover.png,1536,1024
h,כרטיס מכל הלב,"יוצרים לאמא מתנה אישית שאפשר לשמור. בוחרים ברכה, מוסיפים צבעים, מסגרת, מדבקות וציור — ומורידים או מדפיסים את הכרטיס שהכנתם.",מגיל 4 בליווי · יצירה והבעה,"כרטיס חלק, פרחי נייר, לבבות, סרט וצבעים על שולחן יצירה","סטודיו נייר עדין, ורוד וקורל",../משחקים/h-card-studio.html,h-cover.webp,h-cover.png,1536,1024
i,צעדים ראשונים,"מקום אישי לארגן את הימים שאחרי הלידה: לראות מה מחכה בדרך, לסמן צעדים שהושלמו ולחזור למפה שלך כשנוח לך.",לאמא אחרי הלידה · סדר ומעקב,"אבני צעדים בגוני שמנת, קשת, מחברת, ספל וצמח קטן",עיצוב בוגר ושקט בגוני שמנת ומרווה,../משחקים/i-first-steps/index.html,i-cover.webp,i-cover.png,1536,1024
j,מרווח,"רגע קטן לעצמך בתוך היום. בוחרים כרטיס להתבוננות, שומרים מחשבות אהובות ומפנים מקום לשיחת ערב זוגית, בקצב שמתאים לכם.",לאמא ולהורים · התבוננות ושיחה,"שני ספלי קרמיקה, מחברת פתוחה ואגרטל פרחים באור טבעי רך","צילום אווירה בוגר, שזיף, ורוד ומרווה",../משחקים/j-meravach.html,j-cover.webp,j-cover.png,1536,1024
